director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combination,title,comb
Thomas Kail,Thomas Kail (director); Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,History Music Drama,,Thomas Kail (director); Lin-Manuel Miranda Phillipa Soo Leslie Odom Jr. Thomas Kail History Music Drama,hamilton,
Natalie Erika James,Emily Mortimer,Robyn Nevin,Bella Heathcote,Horror Drama,,Emily Mortimer Robyn Nevin Bella Heathcote Natalie Erika James Horror Drama,relic,
LP,Anna Camp,Robbie Amell,Nasim Pedrad,Comedy Romance,,Anna Camp Robbie Amell Nasim Pedrad LP Comedy Romance,desperados,
Gina Prince-Bythewood,Charlize Theron,KiKi Layne,Marwan Kenzari,Action Fantasy,,Charlize Theron KiKi Layne Marwan Kenzari Gina Prince-Bythewood Action Fantasy,the old guard,
Aaron Schneider,Tom Hanks,Stephen Graham,Rob Morgan,War Action Drama,,Tom Hanks Stephen Graham Rob Morgan Aaron Schneider War Action Drama,greyhound,
Max Barbakow,Andy Samberg,Cristin Milioti,Peter Gallagher,Comedy Romance Fantasy Mystery,,Andy Samberg Cristin Milioti Peter Gallagher Max Barbakow Comedy Romance Fantasy Mystery,palm springs,
Peter Sullivan,Nia Long,Omar Epps,Stephen Bishop,Thriller,,Nia Long Omar Epps Stephen Bishop Peter Sullivan Thriller,fatal affair,
Robin Pront,Annabelle Wallis,Hero Fiennes-Tiffin,Nikolaj Coster-Waldau,Crime Thriller Action,,Annabelle Wallis Hero Fiennes-Tiffin Nikolaj Coster-Waldau Robin Pront Crime Thriller Action,the silencing,
"Scott Christian Sava, Tony Bancroft",John Krasinski,Emily Blunt,Ian McKellen,Comedy Animation Adventure,,"John Krasinski Emily Blunt Ian McKellen Scott Christian Sava, Tony Bancroft Comedy Animation Adventure",animal crackers,
Vince Marcello,Joey King,Joel Courtney,Jacob Elordi,Comedy Romance,,Joey King Joel Courtney Jacob Elordi Vince Marcello Comedy Romance,the kissing booth 2,
Dave Franco,Dan Stevens,Alison Brie,Sheila Vand,Horror Thriller Drama,,Dan Stevens Alison Brie Sheila Vand Dave Franco Horror Thriller Drama,the rental,
John Pogue,Tania Raymonde,Nathaniel Buzolic,Emerson Brooks,Action Horror Science Fiction,,Tania Raymonde Nathaniel Buzolic Emerson Brooks John Pogue Action Horror Science Fiction,deep blue sea 3,
Andrea Di Stefano,Joel Kinnaman,Rosamund Pike,Common,Drama Crime Thriller,,Joel Kinnaman Rosamund Pike Common Andrea Di Stefano Drama Crime Thriller,the informer,
Jessica Swale,Gemma Arterton,Gugu Mbatha-Raw,Penelope Wilton,Drama War,,Gemma Arterton Gugu Mbatha-Raw Penelope Wilton Jessica Swale Drama War,summerland,
David Ayer,Bobby Soto,Shia LaBeouf,Cinthya Carmona,Action Crime Drama,,Bobby Soto Shia LaBeouf Cinthya Carmona David Ayer Action Crime Drama,the tax collector,
Ciro Guerra,Mark Rylance,Johnny Depp,Robert Pattinson. Gana Bayarsaikhan,Drama,,Mark Rylance Johnny Depp Robert Pattinson. Gana Bayarsaikhan Ciro Guerra Drama,waiting for the barbarians,
"Henry Joost, Ariel Schulman",Jamie Foxx,Joseph Gordon-Levitt,Dominique Fishback,Action Crime Science Fiction,,"Jamie Foxx Joseph Gordon-Levitt Dominique Fishback Henry Joost, Ariel Schulman Action Crime Science Fiction",project power,
Tim Hill,Tom Kenny,Bill Fagerbakke,Rodger Bumpass,Fantasy Animation Adventure Comedy Family,,Tom Kenny Bill Fagerbakke Rodger Bumpass Tim Hill Fantasy Animation Adventure Comedy Family,the spongebob movie: sponge on the run,
Mark Waters,Adam DeVine,Gillian Jacobs,Jeffrey Tambor,Comedy Family Fantasy,,Adam DeVine Gillian Jacobs Jeffrey Tambor Mark Waters Comedy Family Fantasy,magic camp,
Eugene Kotlyarenko,Joe Keery,Sasheer Zamata,Mischa Barton,Comedy Horror Thriller,,Joe Keery Sasheer Zamata Mischa Barton Eugene Kotlyarenko Comedy Horror Thriller,spree,
Thea Sharrock,Sam Rockwell,Angelina Jolie,Danny DeVito,Family Comedy Drama,,Sam Rockwell Angelina Jolie Danny DeVito Thea Sharrock Family Comedy Drama,the one and only ivan,
Derrick Borte,Russell Crowe,Caren Pistorius,Gabriel Bateman,Action Thriller,,Russell Crowe Caren Pistorius Gabriel Bateman Derrick Borte Action Thriller,unhinged,
RZA,Shameik Moore,T.I.,Demetrius Shipp Jr.,Action Crime Drama Thriller,,Shameik Moore T.I. Demetrius Shipp Jr. RZA Action Crime Drama Thriller,cut throat city,
Michael Almereyda,Ethan Hawke,Eve Hewson,Ebon Moss-Bachrach,History Drama,,Ethan Hawke Eve Hewson Ebon Moss-Bachrach Michael Almereyda History Drama,tesla,
Thor Freudenthal,AnnaSophia Robb,Charlie Plummer,Taylor Russell,Drama,,AnnaSophia Robb Charlie Plummer Taylor Russell Thor Freudenthal Drama,words on bathroom walls,
Christopher Nolan,John David Washington,Robert Pattinson,Elizabeth Debicki,Action Thriller Science Fiction,,John David Washington Robert Pattinson Elizabeth Debicki Christopher Nolan Action Thriller Science Fiction,tenet,
Dean Parisot,Keanu Reeves,Alex Winter,Kristen Schaal,Comedy Science Fiction Adventure,,Keanu Reeves Alex Winter Kristen Schaal Dean Parisot Comedy Science Fiction Adventure,bill & ted face the music,
Josh Boone,Maisie Williams,Anya Taylor-Joy,Charlie Heaton,Action Science Fiction Horror Adventure,,Maisie Williams Anya Taylor-Joy Charlie Heaton Josh Boone Action Science Fiction Horror Adventure,the new mutants,
Armando Iannucci,Dev Patel,Aneurin Barnard,Peter Capaldi,Drama Comedy,,Dev Patel Aneurin Barnard Peter Capaldi Armando Iannucci Drama Comedy,the personal history of david copperfield,
Bob Bowen,Vincent Martella,Ashley Tisdale,David Errigo Jr.,Animation Science Fiction Comedy Music Family TV Movie,,Vincent Martella Ashley Tisdale David Errigo Jr. Bob Bowen Animation Science Fiction Comedy Music Family TV Movie,phineas and ferb the movie: candace against the universe,
Brett Haley,Auliʻi Cravalho,Rhenzy Feliz,Judy Reyes,Drama,,Auliʻi Cravalho Rhenzy Feliz Judy Reyes Brett Haley Drama,all together now,
